序位	詞彙	詞頻	常用詞標V
1154	順利	114	V
1155	態度	114	V
1156	老	114	V
1157	放	114	V
1158	科技部	113	V
1159	大選	113	V
1160	人物	113	V
1161	雲林縣	113	V
1162	科長	113	V
1163	唯一	113	V
1164	培訓	113	V
1165	年度	113	V
1166	塑膠	113	V
1167	擊敗	113	V
1168	園區	113	V
1169	發布	113	V
1170	訂定	112	V
1171	任何	112	V
1172	放棄	112	V
1173	陳景清	112	V
1174	參考	112	V
1175	情緒	112	V
1176	管道	112	V
1177	人民	112	V
1178	逐漸	111	V
1179	專案	111	V
1180	記者	111	V
1181	氣象局	111	V
1182	騎	111	V
1183	大考	111	V
1184	招	111	V
1185	獨立	111	V
1186	適合	111	V
1187	少女	111	V
1188	理解	111	V
1189	開設	110	V
1190	秒	110	V
1191	正確	110	V
1192	供	110	V
1193	身	110	V
1194	變遷	110	V
1195	縣長	110	V
1196	四十	110	V
1197	教科書	110	V
1198	班級	110	V
1199	到校	110	V
1200	聯合	109	V
1201	臺東	109	V
1202	食材	109	V
1203	檢測	109	V
1204	初	109	V
1205	整	109	V
1206	大學生	109	V
1207	十七	109	V
1208	為主	109	V
1209	案件	109	V
1210	川普	109	V
1211	技能	109	V
1212	生涯	109	V
1213	讀書	108	V
1214	廚餘	108	V
1215	成就感	108	V
1216	堅持	108	V
1217	屬於	108	V
1218	醫學	108	V
1219	不再	108	V
1220	假	108	V
1221	女	108	V
1222	警方	107	V
1223	區域	107	V
1224	上午	107	V
1225	安打	107	V
1226	民國	107	V
1227	校舍	107	V
1228	檢討	107	V
1229	角色	107	V
1230	進步	106	V
1231	恐	106	V
1232	泰國	106	V
1233	網站	106	V
1234	面	106	V
1235	年輕人	106	V
1236	危機	106	V
1237	動作	106	V
1238	處長	106	V
1239	試辦	106	V
1240	滿	106	V
1241	口	106	V
1242	張彩鳳	106	V
1243	家扶	105	V
1244	工具	105	V
1245	人文	105	V
1246	動手	105	V
1247	實踐	105	V
1248	夢	105	V
1249	對象	105	V
1250	重	105	V
1251	年輕	105	V
1252	感受	105	V
1253	檢查	105	V
1254	欣賞	104	V
1255	真的	104	V
1256	回家	104	V
1257	即	104	V
1258	罹患	104	V
1259	必要	104	V
1260	貓	104	V
1261	附近	104	V
1262	五年級	104	V
1263	完整	104	V
1264	偏遠	104	V
1265	穩定	104	V
1266	七成	104	V
1267	違規	103	V
1268	線	103	V
1269	接種	103	V
1270	提前	103	V
1271	六十	103	V
1272	屬	103	V
1273	港	103	V
1274	郵報	103	V
1275	學費	103	V
1276	人次	103	V
1277	公告	103	V
1278	冠軍戰	103	V
1279	管制	103	V
1280	傳出	103	V
1281	營隊	103	V
1282	影像	103	V
1283	幸福	103	V
1284	再度	103	V
1285	優先	102	V
1286	國會	102	V
1287	幾乎	102	V
1288	票	102	V
1289	毒品	102	V
1290	公斤	102	V
1291	重大	102	V
1292	偏	102	V
1293	授課	102	V
1294	即將	102	V
1295	十一月	102	V
1296	一年級	102	V
1297	縣府	102	V
1298	策略	101	V
1299	距離	101	V
1300	條件	101	V
1301	留下	101	V
1302	啟用	101	V
1303	語文	101	V
1304	蔡	101	V
1305	科大	101	V
1306	做出	101	V
1307	道路	101	V
1308	勞工	101	V
1309	產品	101	V
1310	疫情	101	V
1311	現行	101	V
1312	重新	101	V
1313	讀者	101	V
1314	範圍	101	V
1315	她們	101	V
1316	一直	101	V
1317	題	101	V
1318	天文	101	V
1319	節	100	V
1320	上路	100	V
1321	正在	100	V
1322	其次	100	V
1323	程序	100	V
1324	重點	100	V
1325	入選	100	V
1326	現象	100	V
1327	遊行	100	V
1328	公立	100	V
1329	對手	100	V
1330	發表會	100	V
1331	明顯	99	V
1332	建置	99	V
1333	之外	99	V
1334	學科	99	V
1335	防制	99	V
1336	採取	99	V
1337	規模	99	V
1338	銀	99	V
1339	今	99	V
1340	當天	99	V
1341	升學	98	V
1342	贏得	98	V
1343	隨著	98	V
1344	禮物	98	V
1345	違反	98	V
1346	盼	98	V
1347	小小	98	V
1348	情形	98	V
1349	圖／美聯社	98	V
1350	份	97	V
1351	整合	97	V
1352	赴	97	V
1353	資格	97	V
1354	身分	97	V
1355	視野	97	V
1356	小組	97	V
1357	狗	97	V
1358	段	97	V
1359	隊伍	97	V
1360	記錄	97	V
1361	顆	97	V
1362	整體	97	V
1363	長大	97	V
1364	澳洲	97	V
1365	南投縣	97	V
1366	研究所	97	V
